SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.15G19.3026	53	0	266	251	0	44	45	27	0	179	0	0	132	2	17	19	291	19	85	8	0	1	41	14	11	8	0	2	58	191	181	25
GTEX.15UF6.3126	0	147	125	174	3	210	61	56	2	203	15	660	88	41	255	0	31	199	4	236	187	44	0	44	3	112	22	3	19	552	40	9
GTEX.16GPK.3126	119	30	25	152	12	136	126	56	34	161	2	104	228	78	59	1	147	108	218	100	77	54	200	32	44	4	11	31	70	63	67	26
GTEX.16NPV.3226	105	0	0	7	1	25	0	79	284	37	0	0	112	0	199	85	99	13	126	9	0	1	37	38	26	97	0	0	154	2	306	1
GTEX.16XZZ.3126	0	117	39	41	2	75	76	149	0	11	0	354	27	0	1	0	0	530	1	96	105	97	0	61	0	13	110	16	0	100	36	0
GTEX.16YQH.3126	49	68	12	4	2	118	131	189	8	29	555	173	3	266	59	13	0	210	0	84	392	129	1	79	9	51	45	39	30	3	23	206
GTEX.16Z82.3126	40	35	4	5	55	83	74	106	46	103	501	11	6	100	103	413	27	9	3	25	90	113	1	23	77	260	11	28	118	48	39	340
GTEX.17EVP.3126	573	251	98	44	0	60	25	158	117	58	0	86	65	0	14	0	18	255	74	30	127	27	36	64	7	0	62	17	27	56	92	18
GTEX.17EVQ.2926	35	120	303	35	142	74	298	193	0	164	1	57	20	441	11	3	284	30	182	10	97	200	188	53	72	14	124	45	66	23	116	155
GTEX.17HG3.3026	103	193	135	192	65	108	228	325	32	55	0	31	186	76	39	9	7	200	132	70	601	226	64	36	1	37	240	52	34	488	166	6
GTEX.17HHY.3126	6	638	1	73	4	33	178	125	0	8	0	12	144	42	3	0	2	5	271	4	25	115	52	38	0	0	133	20	26	5	530	0
GTEX.17HII.3126	108	7	333	236	0	17	8	84	101	61	9	0	237	0	108	4	11	272	112	25	0	0	6	3	7	452	0	0	68	113	142	75
GTEX.18465.3126	136	1	35	46	0	74	26	20	26	219	0	0	377	0	27	0	108	106	555	58	6	8	214	21	5	4	0	5	48	14	232	15
GTEX.18A6Q.3026	73	152	159	227	4	399	109	165	29	72	5	1117	69	23	22	11	67	102	99	69	334	127	58	71	80	236	24	53	49	473	72	154
GTEX.1A32A.3226	0	5	1	43	0	35	11	7	0	6	15	0	129	0	31	0	0	16	18	131	23	9	1	1	0	3	0	0	0	52	100	2
GTEX.1A3MW.3226	21	27	10	123	0	20	2	6	1	57	0	1	417	0	34	0	0	219	28	93	7	13	0	0	0	11	25	0	9	73	71	0
GTEX.1A3MX.3126	537	78	144	200	0	36	5	6	44	303	6	23	80	0	33	53	108	611	37	122	5	4	6	15	47	144	2	2	64	154	39	467
GTEX.1A8FM.3126	42	67	0	1	14	492	215	105	6	296	567	1737	1	90	724	2082	75	1	8	295	771	252	74	152	102	92	16	73	501	3	20	138
GTEX.1A8G6.3026	221	823	62	370	279	62	127	365	32	79	8	147	93	169	134	3	18	263	142	3	179	147	254	88	12	153	551	181	152	30	114	45
GTEX.1A8G7.2926	1	242	28	8	2	189	105	213	116	586	544	210	79	24	290	183	629	125	189	229	99	22	393	126	389	114	19	44	189	43	149	550
GTEX.1AX9I.3126	69	85	28	14	0	265	94	118	70	54	174	467	16	18	193	281	26	299	1	220	215	52	2	42	79	235	16	8	70	63	45	130
GTEX.1B8L1.3126	1	23	0	1	0	70	29	28	4	1	4	0	168	0	127	5	0	0	9	15	19	4	5	9	0	22	4	3	169	4	177	0
GTEX.1B8SG.1826	0	13	0	1	0	54	41	16	22	5	4	11	38	1	392	24	2	0	89	8	57	41	319	4	0	6	4	12	747	3	87	0
GTEX.1B933.2926	87	2	174	39	20	69	70	42	387	187	60	3	57	93	13	9	58	251	69	443	120	108	23	15	21	16	0	32	54	176	42	105
GTEX.1B996.3026	529	468	568	286	0	109	40	152	70	142	2	22	238	0	57	3	57	482	158	41	34	13	32	40	154	387	108	12	79	49	187	663
GTEX.1BAJH.2926	49	30	7	6	278	365	319	11	95	93	2472	1858	3	538	432	219	0	97	1	366	245	305	0	85	3	341	110	354	44	8	3	158
GTEX.1C64N.3226	7	64	0	1	68	118	90	27	96	10	1417	867	0	50	282	186	0	11	1	129	187	103	2	13	0	364	120	44	143	11	15	4
GTEX.1C6VQ.3126	4	126	9	54	1	114	104	146	1	45	66	208	145	36	607	10	1	144	17	123	45	26	1	10	0	78	85	12	130	55	80	11
GTEX.1C6VR.3126	10	65	1	26	7	59	70	76	1	32	4	41	50	46	177	6	11	4	101	23	79	70	155	11	5	6	20	8	527	5	44	2
GTEX.1C6VS.2926	31	276	549	111	75	273	74	76	148	1579	868	1058	42	80	186	543	124	423	3	1112	98	184	0	33	14	479	384	22	3	1466	32	723
GTEX.1C6WA.2926	0	1	0	1	1	360	107	173	584	319	516	1	86	3	1212	142	16	4	30	545	77	64	1	19	1	70	0	33	161	13	153	8
GTEX.1CB4G.3126	17	363	0	1	8	63	102	99	13	39	17	551	26	52	160	35	10	17	17	44	361	124	29	29	2	26	749	24	61	2	30	3
GTEX.1CB4H.3226	14	275	25	151	9	212	217	154	13	158	52	172	107	168	138	85	168	45	108	61	392	114	477	29	81	23	68	53	660	63	100	24
GTEX.1CB4J.3126	5	48	4	11	33	284	51	1225	28	87	1736	693	6	22	1209	1126	43	27	3	94	224	179	0	191	173	1499	36	328	418	93	36	165
GTEX.1E2YA.3126	13	37	21	27	0	35	6	200	1	103	119	188	6	0	50	55	353	22	24	32	29	4	144	129	350	20	18	2	92	13	17	253
GTEX.1EH9U.3226	21	77	7	13	0	86	141	136	1	24	0	5	61	2	0	1	75	7	305	2	94	43	165	11	60	2	1	14	93	0	271	17
GTEX.1EKGG.3026	140	125	7	12	208	175	119	78	104	119	1256	1122	3	76	442	1022	10	81	4	63	135	105	48	137	167	281	200	68	394	24	18	391
GTEX.1EMGI.2926	15	37	11	47	26	336	71	59	12	54	712	1859	9	61	427	163	92	97	20	423	353	152	202	77	292	1577	68	32	750	303	52	128
GTEX.1EN7A.3126	50	224	7	117	0	58	38	106	17	23	0	82	540	18	375	16	1	97	110	30	42	25	17	20	0	21	2	17	125	91	151	0
GTEX.1EU9M.3026	275	158	0	3	136	352	242	252	201	344	621	754	47	124	817	447	72	110	20	119	366	111	20	197	206	137	304	146	444	3	97	152
GTEX.1EWIQ.3226	122	13	2	2	1	79	16	101	229	148	1250	2	4	0	275	1223	143	4	5	82	137	16	101	25	419	77	0	6	425	0	56	160
GTEX.1EX96.2926	1	159	3	5	0	117	9	85	13	1009	970	302	17	1	891	935	570	1	7	236	81	5	20	11	36	213	79	16	88	105	87	59
